Date,Open,High,Low,Close,Adj Close,Volume
2021-05-11,9.660000,9.940000,9.530000,9.880000,9.187550,6009400
2021-05-12,9.950000,10.200000,9.690000,9.760000,9.075960,6371700
2021-05-13,9.860000,10.030000,9.670000,10.010000,9.308439,4053700
2021-05-14,10.200000,10.310000,10.060000,10.140000,9.429328,4721700
2021-05-17,10.110000,10.460000,10.070000,10.450000,9.717601,3280800
2021-05-18,10.450000,10.520000,10.320000,10.340000,9.615312,3121900
2021-05-19,10.140000,10.370000,10.040000,10.140000,9.429328,6888700
2021-05-20,10.090000,10.480000,9.960000,10.410000,9.680405,3180900
2021-05-21,10.450000,10.560000,10.280000,10.330000,9.606011,4900900
2021-05-24,10.380000,10.560000,10.300000,10.500000,9.764097,5110300
2021-05-25,10.490000,10.580000,10.420000,10.440000,9.708302,5219100
2021-05-26,10.430000,10.590000,10.390000,10.500000,9.764097,5115900
2021-05-27,10.540000,10.660000,10.450000,10.610000,9.866387,3149700
2021-05-28,10.610000,10.650000,10.410000,10.530000,9.791994,2916100
2021-06-01,10.700000,11.100000,10.620000,10.960000,10.191856,4702700
2021-06-02,11.020000,11.320000,10.930000,11.270000,10.480131,3575300
2021-06-03,11.260000,11.390000,11.110000,11.300000,10.508028,2220900
2021-06-04,11.420000,11.470000,11.130000,11.330000,10.535925,3262600
2021-06-07,11.350000,11.730000,11.340000,11.620000,10.805600,4561100
2021-06-08,11.560000,12.150000,11.550000,12.070000,11.224061,6228600
2021-06-09,12.170000,12.180000,11.950000,12.080000,11.233360,3489000
2021-06-10,12.210000,12.250000,11.830000,12.110000,11.261258,3080500
2021-06-11,12.130000,12.230000,11.990000,12.090000,11.242661,3998200
2021-06-14,12.170000,12.320000,12.120000,12.280000,11.419344,6383200
2021-06-15,12.330000,12.380000,11.840000,12.130000,11.279856,3677800
2021-06-16,12.020000,12.190000,11.910000,12.100000,11.251960,3929500
2021-06-17,12.040000,12.110000,11.200000,11.370000,10.573122,6938800
2021-06-18,11.080000,11.240000,10.850000,11.020000,10.247653,12854900
2021-06-21,11.100000,11.640000,11.090000,11.590000,10.777703,4827500
2021-06-22,11.600000,11.640000,11.340000,11.600000,10.787002,6890600
2021-06-23,11.740000,11.810000,11.480000,11.480000,10.675412,3318900
2021-06-24,11.450000,11.520000,11.250000,11.380000,10.582420,4212800
2021-06-25,11.370000,11.380000,11.130000,11.190000,10.405737,4168400
2021-06-28,11.150000,11.220000,10.760000,11.170000,10.387140,5098800
2021-06-29,11.120000,11.310000,10.960000,11.020000,10.247653,2784300
2021-06-30,11.020000,11.380000,11.020000,11.360000,10.563823,3862200
2021-07-01,11.500000,11.710000,11.440000,11.710000,10.889293,4284600
2021-07-02,11.750000,11.780000,11.440000,11.540000,10.731208,2681600
2021-07-06,11.610000,11.610000,11.000000,11.070000,10.294147,4627100
2021-07-07,11.050000,11.210000,10.680000,10.820000,10.061669,4225600
2021-07-08,10.650000,10.890000,10.380000,10.750000,9.996575,4199600
2021-07-09,10.840000,11.210000,10.780000,11.120000,10.340643,4213700
2021-07-12,11.000000,11.010000,10.710000,10.740000,9.987276,4628800
2021-07-13,10.880000,10.950000,10.640000,10.660000,9.912884,5705100
2021-07-14,10.700000,10.950000,10.480000,10.530000,9.791994,3977300
2021-07-15,10.400000,10.480000,10.180000,10.210000,9.494422,3172600
2021-07-16,10.550000,10.550000,9.960000,10.020000,9.317739,3890500
2021-07-19,9.650000,9.870000,9.340000,9.560000,8.889977,7784200
2021-07-20,9.640000,9.860000,9.520000,9.800000,9.113157,5415600
2021-07-21,9.950000,10.570000,9.950000,10.130000,9.420029,6116100
2021-07-22,10.100000,10.390000,9.980000,10.260000,9.540917,3801000
2021-07-23,10.400000,10.400000,10.140000,10.280000,9.559515,3321300
2021-07-26,10.220000,10.510000,10.220000,10.470000,9.736198,3754500
2021-07-27,10.380000,10.410000,10.010000,10.110000,9.401429,4546000
2021-07-28,10.110000,10.290000,9.900000,10.160000,9.447926,3751800
2021-07-29,10.050000,10.150000,9.900000,10.020000,9.485794,4139700
2021-07-30,10.050000,10.080000,9.870000,10.010000,9.476327,3003700
2021-08-02,9.970000,10.220000,9.690000,9.720000,9.201788,4979200
2021-08-03,9.720000,9.830000,9.400000,9.800000,9.277523,5323900
2021-08-04,9.390000,9.840000,9.370000,9.510000,9.002984,5680300
2021-08-05,9.530000,9.810000,9.530000,9.610000,9.097651,3580300
2021-08-06,9.750000,9.870000,9.660000,9.670000,9.154453,3990200
2021-08-09,9.560000,9.630000,9.440000,9.460000,8.955649,3950300
2021-08-10,9.520000,9.810000,9.510000,9.770000,9.249122,3514900
2021-08-11,9.750000,9.920000,9.600000,9.850000,9.324858,3356400
2021-08-12,9.850000,10.060000,9.660000,10.050000,9.514194,3748100
2021-08-13,10.070000,10.240000,9.990000,10.000000,9.466860,3484500
2021-08-16,9.980000,9.980000,9.700000,9.730000,9.211254,3767400
2021-08-17,9.660000,9.900000,9.580000,9.690000,9.173387,3132000
2021-08-18,9.710000,9.770000,9.420000,9.420000,8.917782,3866900
2021-08-19,9.250000,9.340000,9.000000,9.110000,8.624309,4793200
2021-08-20,9.040000,9.220000,9.000000,9.170000,8.681110,1863600
2021-08-23,9.430000,9.540000,9.320000,9.410000,8.908315,4171100
2021-08-24,9.500000,9.600000,9.420000,9.520000,9.012451,2552900
2021-08-25,9.530000,9.710000,9.450000,9.600000,9.088186,2562300
2021-08-26,9.620000,9.620000,9.210000,9.210000,8.718978,3160600
2021-08-27,9.270000,9.570000,9.270000,9.490000,8.984050,2236500
2021-08-30,9.490000,9.530000,9.240000,9.250000,8.756845,3153400
2021-08-31,9.260000,9.400000,9.160000,9.330000,8.832581,2554800
2021-09-01,9.290000,9.410000,9.230000,9.390000,8.889381,4081300
2021-09-02,9.440000,9.690000,9.420000,9.660000,9.144986,2553900
